97690	0
53735	1
460064	1
83838	1
43734	1
865815	0
430331	0
25131	0
400004	1
753726	0
732237	1
868376	0
388516	0
60259	0
552053	0
256030	0
238713	0
800354	0
475952	0
363	1
352182	0
859958	1
75257	1
563365	1
139931	1
778997	0
84448	1
7777	1
98723	0
513668	0
177247	0
797977	0
68086	1
128025	0
98270	0
95059	1
215512	1
243784	0
91719	1
143568	0
92129	1
453404	0
798786	0
244442	1
89698	1
584022	0
716097	0
322223	1
303829	0
877778	1
59621	0
99499	1
743347	1
333333	1
798897	1
117668	0
102242	0
631136	1
869861	0
717560	0
83638	1
244442	1
481672	0
91219	1
113311	1
73737	1
920029	1
175969	0
42724	1
41671	0
40539	0
89098	1
431134	1
998899	1
17971	1
18881	1
609906	1
481678	0
553492	0
137731	1
669101	0
588885	1
730037	1
548634	0
772281	0
572659	0
893398	1
58785	1
745547	1
665566	1
916619	1
674921	0
810906	0
755395	0
559550	0
80208	1
642246	1
609906	1
156651	1
98589	1
67576	1
89198	1
986689	1
386680	0
916018	0
42824	1
510025	0
17971	1
810433	0
665566	1
3553	1
885588	1
359599	0
427945	0
185581	1
496694	1
804762	0
612183	0
4004	1
749385	0
114270	0
46364	1
307465	0
907709	1
424	1
270947	0
63536	1
749202	0
427724	1
402123	0
24082	0
738727	0
814463	0
423959	0
187120	0
939225	0
134995	0
197289	0
59895	1
502205	1
79797	1
452221	0
773839	0
285582	1
376367	0
358419	0
258946	0
158851	1
812218	1
499270	0
73237	1
236944	0
593852	0
627583	0
220022	1
185181	0
949949	1
17671	1
974879	0
86668	1
252944	0
348843	1
192842	0
606417	0
276556	0
266884	0
337760	0
849948	1
514415	1
652756	0
767767	1
542245	1
16961	1
594330	0
703382	0
956209	0
80908	1
575575	1
156460	0
139931	1
626626	1
545574	0
700719	0
81318	1
40804	1
401153	0
23032	1
93539	1
521125	1
867768	1
165561	1
59795	1
824428	1
18781	1
848090	0
362823	0
69196	1
636337	0
280082	1
345545	0
507096	0
867121	0
890036	0
867771	0
455835	0
69596	1
829177	0
29692	1
607677	0
728381	0
852685	0
725757	0
665277	0
45454	1
720332	0
832665	0
740757	0
36963	1
12821	1
458860	0
97179	1
219033	0
418879	0
211603	0
92029	1
996396	0
400243	0
246960	0
13831	1
943349	1
873378	1
181004	0
557055	0
115511	1
1441	1
955623	0
840966	0
60006	1
73937	1
172256	0
625401	0
85758	1
78887	1
580085	1
509855	0
55665	0
829928	1
136631	1
215770	0
532235	1
94549	1
586695	0
803308	1
257752	1
232	1
788317	0
292533	0
392684	0
766758	0
504711	0
92761	0
750057	1
850058	1
65370	0
170071	1
117196	0
57375	1
981189	1
63936	1
347743	1
69896	1
826599	0
774085	0
380495	0
74247	1
531466	0
886688	1
16522	0
1221	1
345543	1
92650	0
25352	1
72427	1
297792	1
19791	1
877778	1
128014	0
861854	0
99999	1
916491	0
403731	0
592063	0
144331	0
861168	1
553355	1
21812	1
406721	0
259410	0
61216	1
562711	0
785587	1
24442	1
423393	0
226622	1
58922	0
465249	0
825152	0
794841	0
60406	1
415514	1
72427	1
38983	1
168768	0
96569	1
577775	1
30103	1
462910	0
848390	0
29992	1
858544	0
171171	1
373950	0
57375	1
590758	0
601736	0
784289	0
378650	0
59195	1
174471	1
971479	0
847000	0
951034	0
407934	0
612216	1
33933	1
459954	1
386683	1
12021	1
647701	0
252228	0
175029	0
950931	0
844448	1
996266	0
234382	0
889211	0
969010	0
30420	0
462264	1
211704	0
273007	0
19391	1
847012	0
440277	0
60506	1
308047	0
34043	1
619916	1
111329	0
9779	1
836347	0
305383	0
707	1
730037	1
314559	0
663237	0
